€/MWh;CAL-10;;;;;CAL-11;;;;;CAL-12;;;;;CAL-13;;;;;CAL-14;;;CAL-15;;;CAL-16;;;CAL-17;;;CAL-18;;;CAL-19;;;CAL-20;;;CAL-21;;;CAL-22;;;CAL-23;;;CAL-24;;;CAL-25;;;CAL-26;;;CAL-27;;;CAL-28;;;CAL-29;;;CAL-30;;
Date;Base;P12hrs;P16hrs;OP12hrs;OP16hrs;Base;P12hrs;P16hrs;OP12hrs;OP16hrs;Base;P12hrs;P16hrs;OP12hrs;OP16hrs;Base;P12hrs;P16hrs;OP12hrs;OP16hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs;Base;P12hrs;OP12hrs
02/01/2008;61,74;;81,84;;44,38;59,81;;81,6;;40,60;59,09;;81,335;;39,80;59,13;;81,285;;39,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2008;62,51;;82,87;;45,11;60,49;;82,32;;41,39;59,73;;81,965;;40,44;59,71;;82,105;;40,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2008;63,39;;83,73;;45,63;61,03;;82,91;;43,33;60,84;;82,94;;41,66;60,89;;83;;41,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2008;63,73;;84,59;;45,63;62,03;;83,62;;43,33;60,84;;82,94;;41,66;60,89;;83;;41,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2008;64,03;;85,2;;45,50;62,5;;84,43;;43,15;61,08;;83,335;;41,78;61,11;;83,42;;41,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/01/2008;63,84;;84,87;;45,47;62,49;;84,53;;43,60;62,11;;84,89;;42,34;62,77;;85,54;;43,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/01/2008;63,77;;84,73;;44,86;63,1;;85,17;;43,45;62,41;;84,87;;42,92;63,99;;86,95;;44,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2008;63,45;;84,6;;44,90;62,75;;85,04;;43,06;62,35;;84,675;;42,99;63,99;;87,13;;43,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2008;63,08;;84,1;;45,05;62,69;;85,01;;43,01;62,37;;84,83;;42,88;64,00;;87,32;;43,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/01/2008;63,35;;84,31;;45,10;63,22;;85,11;;43,55;62,78;;85,035;;43,48;64,55;;87,555;;44,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/01/2008;63,03;;83,77;;45,09;62,84;;84,94;;43,21;62,67;;84,96;;43,34;64,53;;87,5;;44,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/01/2008;62,58;;82,85;;45,19;62,42;;84,42;;42,89;62,58;;84,83;;43,28;64,38;;87,415;;44,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/01/2008;62,44;;82,54;;45,04;62,4;;84,49;;42,85;62,57;;84,83;;43,26;64,35;;87,255;;44,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/01/2008;61,82;;81,61;;44,14;62,15;;84,13;;42,06;61,85;;83,425;;43,14;63,88;;86,38;;44,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/01/2008;60,83;;80,18;;44,12;60,99;;82,65;;41,91;61,57;;82,995;;42,99;63,73;;86,25;;44,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/01/2008;61,42;;81,15;;43,97;60,96;;82,73;;41,80;61,59;;82,995;;43,02;63,69;;86,27;;44,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/01/2008;61,02;;80,58;;44,06;60,8;;82,29;;41,94;61,65;;83,055;;43,08;63,79;;86,45;;44,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/01/2008;61,92;;81,98;;44,93;61,25;;82,89;;42,89;62,16;;83,94;;43,26;64,09;;87,04;;44,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/01/2008;62,28;;82,15;;44,81;61,85;;83,58;;42,74;62,09;;83,825;;43,24;64,40;;87,515;;44,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/01/2008;62,68;;82,66;;45,33;62,05;;83,69;;42,82;62,20;;84,09;;43,20;64,58;;87,83;;44,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/01/2008;62,61;;82,43;;45,68;61,87;;83,53;;42,86;62,20;;84,14;;43,17;64,77;;88,05;;44,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/01/2008;62,56;;81,8;;45,69;61,94;;83,38;;43,05;61,96;;83,8;;43,02;64,83;;88,025;;44,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/02/2008;62,31;;81,08;;45,88;61,89;;83,38;;42,91;62,03;;83,955;;43,00;64,94;;88,19;;44,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/02/2008;62,17;;80,98;;45,71;61,79;;83,34;;42,83;62,07;;83,93;;43,10;64,98;;88,19;;44,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/02/2008;61,82;;80,55;;45,39;61,52;;83,09;;42,47;61,93;;83,695;;43,04;64,89;;88,08;;44,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/02/2008;61,91;;80,63;;45,61;61,24;;82,64;;43,32;61,84;;83,42;;43,11;64,89;;88,385;;44,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/02/2008;62,01;;80,89;;45,18;61,59;;82,3;;43,44;61,89;;83,62;;43,04;64,89;;88,3;;44,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/02/2008;62,35;;81,76;;45,59;61,68;;82,64;;43,59;62,00;;83,255;;43,56;64,99;;88,57;;44,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2008;62,47;;81,96;;45,49;61,91;;82,48;;43,85;62,03;;83,265;;43,61;64,99;;88,64;;44,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/02/2008;62,56;;82,16;;45,49;61,82;;82,41;;43,77;61,84;;82,99;;43,49;64,93;;88,62;;44,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/02/2008;62,95;;82,53;;45,91;61,89;;82,42;;43,88;61,85;;82,965;;43,54;64,99;;88,72;;44,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/02/2008;63,61;;83,3;;46,55;62,42;;82,93;;44,40;62,19;;83,35;;43,84;65,28;;88,905;;44,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/02/2008;63,77;;83,07;;47,06;62,52;;83;;44,45;62,28;;83,285;;44,06;65,26;;88,815;;44,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/02/2008;63,68;;82,68;;47,18;62,56;;83,15;;44,37;62,25;;83,3;;43,99;65,33;;88,845;;44,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/02/2008;63,34;;82,49;;46,91;62,09;;83,11;;43,57;62,04;;83,11;;43,77;65,21;;88,775;;44,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
